店舗名,電話番号,メールアドレス,都道府県,市区町村,番地,建物名,URL,SSL
"
大衆海鮮 レトロ寿司酒場えびすちゃん 梅田 お初天神店
",050-5493-1761,,大阪府,大阪市北区曽根崎,2-13-18,,,
"
全席個室居酒屋 九州料理 かこみ庵西鉄久留米駅前店
",050-5487-1816,,福岡県,久留米市東町,33-1,,,
"
とり鉄 高松古馬場店
",050-5487-9757,,香川県,高松市古馬場町,8-1,,,
"
ネオ和食居酒屋あなたに会いにゆきます。‐ANAYUKI‐千葉店
",050-5494-3174,,千葉県,千葉市中央区中央,3-4-13,,,
"
もんじゃ政 横浜店 
",050-5489-5413,,神奈川県,横浜市神奈川区鶴屋町,1,,,
"
とり鉄 岡山錦町店 
",050-5487-9761,,岡山県,岡山市北区錦町,3-101,,,
"
粉や 国分寺店
",050-5488-1624,,東京都,国分寺市本町,3-4-3,,,
"
とり鉄 広島本通店
",050-5487-9756,,広島県,広島市中区立町,6-1,,,
"
宴会個室と海鮮料理 ふか川 
",050-5487-3584,,千葉県,柏市柏,3-4-5,,,
"
500円食べ放題500円飲み放題 居酒屋なんちゃん 船橋店 
",050-5488-4622,,千葉県,船橋市本町,1-4-23,,,
"
静岡個室居酒屋 美酒トロ 徳川さん
",050-5487-3234,,静岡県,静岡市葵区紺屋町,8-17,,,
"
関西和風出し・海鮮料理 だいこん亭 
",050-5494-8046,,静岡県,袋井市川井,272-1,,,
"
川越薪火料理 in the park（インザパーク） 
",050-5488-5098,,埼玉県,川越市脇田本町,8-1,,,
"
浪花ろばた 頂鯛 ルクア大阪店 
",050-5488-8976,,大阪府,大阪市北区梅田,3-1-3,,,
"
Ryukyu Dining 家守家YAMORIYA 
",050-5492-4887,,沖縄県,名護市東江,5-14-24,-1F,,
"
新宿 丸港水産
",050-5484-9018,,東京都,新宿区新宿,3-12-12,,,
"
ネオ和食居酒屋あなたに会いたくて。 ‐I miss you‐ 船橋
",050-5493-8606,,千葉県,船橋市本町,3-2-1,,,
